--------- dfsSearch.txt ---------
[[4, 2, 7], [3, 8, 9], [5, 6, 1]]
[[4, 2, 7], [3, 8, 9], [5, 1, 6]]
[[4, 2, 7], [3, 8, 9], [1, 5, 6]]
[[4, 2, 7], [3, 8, 6], [1, 5, 9]]
[[4, 2, 7], [3, 5, 6], [1, 8, 9]]
[[3, 2, 7], [4, 5, 6], [1, 8, 9]]
[[3, 2, 7], [1, 5, 6], [4, 8, 9]]
[[3, 2, 6], [1, 5, 7], [4, 8, 9]]
[[3, 2, 6], [1, 5, 9], [4, 8, 7]]
[[3, 2, 6], [1, 5, 9], [4, 7, 8]]
[[3, 2, 6], [1, 5, 9], [7, 4, 8]]
[[3, 2, 6], [1, 5, 9], [7, 8, 4]]
[[3, 2, 6], [1, 5, 4], [7, 8, 9]]
[[3, 2, 6], [1, 4, 5], [7, 8, 9]]
[[3, 2, 6], [4, 1, 5], [7, 8, 9]]
[[3, 2, 6], [4, 5, 1], [7, 8, 9]]
[[3, 2, 1], [4, 5, 6], [7, 8, 9]]
[[3, 1, 2], [4, 5, 6], [7, 8, 9]]
[[1, 3, 2], [4, 5, 6], [7, 8, 9]]
[[1, 2, 3], [4, 5, 6], [7, 8, 9]]
