--------- dfsSolution.txt ---------
[[6, 8, 2], [9, 7, 5], [3, 1, 4]]
[[6, 8, 2], [9, 7, 5], [1, 3, 4]]
[[6, 8, 2], [9, 7, 5], [1, 4, 3]]
[[6, 8, 2], [9, 4, 5], [1, 7, 3]]
[[6, 8, 2], [4, 9, 5], [1, 7, 3]]
[[6, 8, 2], [4, 5, 9], [1, 7, 3]]
[[6, 8, 2], [4, 5, 3], [1, 7, 9]]
[[6, 8, 2], [4, 5, 3], [7, 1, 9]]
[[6, 8, 2], [4, 1, 3], [7, 5, 9]]
[[6, 1, 2], [4, 8, 3], [7, 5, 9]]
[[6, 1, 2], [4, 5, 3], [7, 8, 9]]
[[1, 6, 2], [4, 5, 3], [7, 8, 9]]
[[1, 2, 6], [4, 5, 3], [7, 8, 9]]
[[1, 2, 3], [4, 5, 6], [7, 8, 9]]
