--------- dfsSearch.txt ---------
[[8, 1, 3], [7, 5, 2], [6, 4, 9]]
[[1, 8, 3], [7, 5, 2], [6, 4, 9]]
[[1, 5, 3], [7, 8, 2], [6, 4, 9]]
[[1, 5, 3], [7, 4, 2], [6, 8, 9]]
[[1, 5, 3], [4, 7, 2], [6, 8, 9]]
[[1, 5, 3], [4, 2, 7], [6, 8, 9]]
[[1, 2, 3], [4, 5, 7], [6, 8, 9]]
[[1, 2, 3], [4, 5, 7], [6, 9, 8]]
[[1, 2, 3], [5, 4, 7], [6, 8, 9]]
[[1, 3, 2], [4, 5, 7], [6, 8, 9]]
[[2, 1, 3], [4, 5, 7], [6, 8, 9]]
[[1, 2, 3], [4, 5, 7], [8, 6, 9]]
[[1, 2, 3], [4, 7, 5], [6, 8, 9]]
[[1, 4, 3], [7, 5, 2], [6, 8, 9]]
[[1, 5, 3], [6, 4, 2], [7, 8, 9]]
[[1, 5, 2], [7, 4, 3], [6, 8, 9]]
[[1, 3, 5], [7, 4, 2], [6, 8, 9]]
[[1, 3, 2], [7, 4, 5], [6, 8, 9]]
[[1, 3, 2], [6, 4, 5], [7, 8, 9]]
[[1, 3, 2], [4, 6, 5], [7, 8, 9]]
[[1, 3, 2], [4, 5, 6], [7, 8, 9]]
[[1, 2, 3], [4, 5, 6], [7, 8, 9]]
