--------- dfsSolution.txt ---------
[[6, 4, 9], [7, 5, 8], [3, 2, 1]]
[[6, 4, 9], [7, 5, 1], [3, 2, 8]]
[[6, 4, 1], [7, 5, 9], [3, 2, 8]]
[[6, 4, 1], [3, 5, 9], [7, 2, 8]]
[[6, 4, 1], [3, 2, 9], [7, 5, 8]]
[[3, 4, 1], [6, 2, 9], [7, 5, 8]]
[[3, 4, 1], [6, 2, 9], [7, 8, 5]]
[[3, 4, 1], [6, 2, 5], [7, 8, 9]]
[[3, 2, 1], [6, 4, 5], [7, 8, 9]]
[[3, 2, 1], [4, 6, 5], [7, 8, 9]]
[[3, 1, 2], [4, 6, 5], [7, 8, 9]]
[[1, 3, 2], [4, 6, 5], [7, 8, 9]]
[[1, 3, 2], [4, 5, 6], [7, 8, 9]]
[[1, 2, 3], [4, 5, 6], [7, 8, 9]]
