--------- dfsSearch.txt ---------
[[21, 22, 23, 24, 25], [6, 7, 8, 9, 10], [1, 2, 3, 4, 5], [16, 17, 18, 19, 20], [11, 12, 13, 14, 15]]
[[21, 22, 23, 24, 25], [6, 7, 8, 9, 10], [1, 2, 3, 4, 5], [16, 17, 18, 19, 15], [11, 12, 13, 14, 20]]
[[21, 22, 23, 24, 25], [6, 7, 8, 9, 10], [1, 2, 3, 4, 5], [16, 17, 18, 14, 20], [11, 12, 13, 19, 15]]
[[21, 22, 23, 24, 25], [6, 7, 8, 9, 10], [1, 2, 3, 4, 5], [16, 17, 13, 19, 20], [11, 12, 18, 14, 15]]
[[21, 22, 23, 24, 25], [6, 7, 8, 4, 10], [1, 2, 3, 9, 5], [16, 17, 18, 19, 20], [11, 12, 13, 14, 15]]
[[21, 22, 23, 4, 25], [6, 7, 8, 24, 10], [1, 2, 3, 9, 5], [16, 17, 18, 19, 20], [11, 12, 13, 14, 15]]
[[21, 22, 23, 4, 25], [6, 7, 8, 9, 10], [1, 2, 3, 24, 5], [16, 17, 18, 19, 20], [11, 12, 13, 14, 15]]
[[21, 22, 23, 4, 25], [6, 7, 8, 9, 10], [1, 2, 3, 24, 5], [16, 17, 18, 19, 15], [11, 12, 13, 14, 20]]
[[21, 22, 23, 4, 25], [6, 7, 8, 9, 10], [1, 2, 3, 24, 5], [16, 17, 18, 14, 20], [11, 12, 13, 19, 15]]
[[21, 22, 23, 4, 25], [6, 7, 8, 9, 10], [1, 2, 3, 14, 5], [16, 17, 18, 24, 20], [11, 12, 13, 19, 15]]
[[21, 22, 23, 4, 25], [6, 7, 8, 9, 10], [1, 2, 3, 14, 5], [16, 17, 18, 19, 20], [11, 12, 13, 24, 15]]
[[21, 22, 23, 4, 25], [6, 7, 8, 9, 10], [1, 2, 3, 14, 5], [16, 17, 18, 19, 15], [11, 12, 13, 24, 20]]
[[21, 22, 23, 4, 10], [6, 7, 8, 9, 25], [1, 2, 3, 14, 5], [16, 17, 18, 19, 20], [11, 12, 13, 24, 15]]
[[21, 22, 23, 4, 10], [6, 7, 8, 9, 5], [1, 2, 3, 14, 25], [16, 17, 18, 19, 20], [11, 12, 13, 24, 15]]
[[21, 22, 23, 4, 5], [6, 7, 8, 9, 10], [1, 2, 3, 14, 25], [16, 17, 18, 19, 20], [11, 12, 13, 24, 15]]
[[21, 22, 23, 4, 5], [6, 7, 8, 9, 10], [1, 2, 3, 14, 25], [16, 17, 18, 19, 15], [11, 12, 13, 24, 20]]
[[21, 22, 23, 4, 5], [6, 7, 8, 9, 10], [1, 2, 3, 14, 15], [16, 17, 18, 19, 25], [11, 12, 13, 24, 20]]
[[21, 22, 23, 4, 5], [6, 7, 8, 9, 10], [1, 2, 3, 14, 15], [16, 17, 18, 19, 20], [11, 12, 13, 24, 25]]
[[21, 22, 23, 4, 5], [6, 7, 8, 9, 10], [1, 2, 3, 14, 15], [16, 17, 13, 19, 20], [11, 12, 18, 24, 25]]
[[21, 22, 23, 4, 5], [6, 7, 8, 9, 10], [1, 2, 3, 14, 15], [16, 12, 18, 19, 20], [11, 17, 13, 24, 25]]
[[6, 22, 23, 4, 5], [21, 7, 8, 9, 10], [1, 2, 3, 14, 15], [16, 17, 18, 19, 20], [11, 12, 13, 24, 25]]
[[6, 22, 23, 4, 5], [1, 7, 8, 9, 10], [21, 2, 3, 14, 15], [16, 17, 18, 19, 20], [11, 12, 13, 24, 25]]
[[1, 22, 23, 4, 5], [6, 7, 8, 9, 10], [21, 2, 3, 14, 15], [16, 17, 18, 19, 20], [11, 12, 13, 24, 25]]
[[1, 22, 23, 4, 5], [6, 7, 8, 9, 10], [21, 2, 3, 14, 15], [16, 17, 13, 19, 20], [11, 12, 18, 24, 25]]
[[1, 22, 23, 4, 5], [6, 7, 8, 9, 10], [21, 2, 3, 14, 15], [16, 12, 18, 19, 20], [11, 17, 13, 24, 25]]
[[1, 22, 23, 4, 5], [6, 7, 8, 9, 10], [21, 2, 3, 14, 15], [11, 17, 18, 19, 20], [16, 12, 13, 24, 25]]
[[1, 22, 23, 4, 5], [6, 7, 8, 9, 10], [11, 2, 3, 14, 15], [21, 17, 18, 19, 20], [16, 12, 13, 24, 25]]
[[1, 22, 23, 4, 5], [6, 7, 8, 9, 10], [11, 2, 3, 14, 15], [16, 17, 18, 19, 20], [21, 12, 13, 24, 25]]
[[1, 22, 23, 4, 5], [6, 7, 8, 9, 10], [11, 2, 3, 14, 15], [16, 17, 13, 19, 20], [21, 12, 18, 24, 25]]
[[1, 22, 23, 4, 5], [6, 7, 8, 9, 10], [11, 2, 3, 14, 15], [16, 12, 18, 19, 20], [21, 17, 13, 24, 25]]
[[1, 22, 23, 4, 5], [6, 7, 3, 9, 10], [11, 2, 8, 14, 15], [16, 17, 18, 19, 20], [21, 12, 13, 24, 25]]
[[1, 22, 3, 4, 5], [6, 7, 23, 9, 10], [11, 2, 8, 14, 15], [16, 17, 18, 19, 20], [21, 12, 13, 24, 25]]
[[1, 22, 3, 4, 5], [6, 7, 8, 9, 10], [11, 2, 23, 14, 15], [16, 17, 18, 19, 20], [21, 12, 13, 24, 25]]
[[1, 22, 3, 4, 5], [6, 7, 8, 9, 10], [11, 2, 23, 14, 15], [16, 17, 13, 19, 20], [21, 12, 18, 24, 25]]
[[1, 22, 3, 4, 5], [6, 7, 8, 9, 10], [11, 2, 13, 14, 15], [16, 17, 23, 19, 20], [21, 12, 18, 24, 25]]
[[1, 22, 3, 4, 5], [6, 7, 8, 9, 10], [11, 2, 13, 14, 15], [16, 17, 18, 19, 20], [21, 12, 23, 24, 25]]
[[1, 22, 3, 4, 5], [6, 7, 8, 9, 10], [11, 2, 13, 14, 15], [16, 12, 18, 19, 20], [21, 17, 23, 24, 25]]
[[1, 22, 3, 4, 5], [6, 2, 8, 9, 10], [11, 7, 13, 14, 15], [16, 17, 18, 19, 20], [21, 12, 23, 24, 25]]
[[1, 2, 3, 4, 5], [6, 22, 8, 9, 10], [11, 7, 13, 14, 15], [16, 17, 18, 19, 20], [21, 12, 23, 24, 25]]
[[1, 2, 3, 4, 5], [6, 7, 8, 9, 10], [11, 22, 13, 14, 15], [16, 17, 18, 19, 20], [21, 12, 23, 24, 25]]
[[1, 2, 3, 4, 5], [6, 7, 8, 9, 10], [11, 22, 13, 14, 15], [16, 12, 18, 19, 20], [21, 17, 23, 24, 25]]
[[1, 2, 3, 4, 5], [6, 7, 8, 9, 10], [11, 12, 13, 14, 15], [16, 22, 18, 19, 20], [21, 17, 23, 24, 25]]
[[1, 2, 3, 4, 5], [6, 7, 8, 9, 10], [11, 12, 13, 14, 15], [16, 17, 18, 19, 20], [21, 22, 23, 24, 25]]
