--------- dfsSolution.txt ---------
[[7, 8, 9, 10, 11, 12], [13, 14, 15, 16, 17, 18], [1, 2, 3, 4, 5, 6], [19, 20, 21, 22, 23, 24], [31, 32, 33, 34, 35, 36], [25, 26, 27, 28, 29, 30]]
[[7, 8, 9, 10, 11, 12], [13, 14, 15, 16, 17, 18], [1, 2, 3, 4, 5, 6], [19, 20, 21, 22, 23, 24], [31, 32, 33, 34, 35, 30], [25, 26, 27, 28, 29, 36]]
[[7, 8, 9, 10, 11, 12], [13, 14, 15, 16, 17, 18], [1, 2, 3, 4, 5, 6], [19, 20, 21, 22, 23, 24], [31, 32, 33, 34, 29, 30], [25, 26, 27, 28, 35, 36]]
[[7, 8, 9, 10, 11, 12], [13, 14, 15, 16, 17, 18], [1, 2, 3, 4, 5, 6], [19, 20, 21, 22, 23, 24], [31, 32, 33, 28, 29, 30], [25, 26, 27, 34, 35, 36]]
[[7, 8, 9, 10, 11, 12], [13, 14, 15, 16, 17, 18], [1, 2, 3, 4, 5, 6], [19, 20, 21, 22, 23, 24], [31, 32, 27, 28, 29, 30], [25, 26, 33, 34, 35, 36]]
[[7, 8, 9, 10, 11, 12], [13, 14, 15, 16, 17, 18], [1, 2, 3, 4, 5, 6], [19, 20, 21, 22, 23, 24], [31, 26, 27, 28, 29, 30], [25, 32, 33, 34, 35, 36]]
[[7, 8, 9, 10, 11, 12], [13, 14, 15, 16, 17, 18], [1, 2, 3, 4, 5, 6], [19, 20, 21, 22, 23, 24], [25, 26, 27, 28, 29, 30], [31, 32, 33, 34, 35, 36]]
[[7, 8, 9, 10, 11, 12], [13, 14, 15, 16, 17, 6], [1, 2, 3, 4, 5, 18], [19, 20, 21, 22, 23, 24], [25, 26, 27, 28, 29, 30], [31, 32, 33, 34, 35, 36]]
[[7, 8, 9, 10, 11, 12], [13, 14, 15, 16, 5, 6], [1, 2, 3, 4, 17, 18], [19, 20, 21, 22, 23, 24], [25, 26, 27, 28, 29, 30], [31, 32, 33, 34, 35, 36]]
[[7, 8, 9, 10, 11, 12], [13, 14, 15, 4, 5, 6], [1, 2, 3, 16, 17, 18], [19, 20, 21, 22, 23, 24], [25, 26, 27, 28, 29, 30], [31, 32, 33, 34, 35, 36]]
[[7, 8, 9, 10, 11, 12], [13, 14, 3, 4, 5, 6], [1, 2, 15, 16, 17, 18], [19, 20, 21, 22, 23, 24], [25, 26, 27, 28, 29, 30], [31, 32, 33, 34, 35, 36]]
[[7, 8, 9, 10, 11, 12], [13, 2, 3, 4, 5, 6], [1, 14, 15, 16, 17, 18], [19, 20, 21, 22, 23, 24], [25, 26, 27, 28, 29, 30], [31, 32, 33, 34, 35, 36]]
[[7, 8, 9, 10, 11, 12], [1, 2, 3, 4, 5, 6], [13, 14, 15, 16, 17, 18], [19, 20, 21, 22, 23, 24], [25, 26, 27, 28, 29, 30], [31, 32, 33, 34, 35, 36]]
[[7, 8, 9, 10, 11, 6], [1, 2, 3, 4, 5, 12], [13, 14, 15, 16, 17, 18], [19, 20, 21, 22, 23, 24], [25, 26, 27, 28, 29, 30], [31, 32, 33, 34, 35, 36]]
[[7, 8, 9, 10, 5, 6], [1, 2, 3, 4, 11, 12], [13, 14, 15, 16, 17, 18], [19, 20, 21, 22, 23, 24], [25, 26, 27, 28, 29, 30], [31, 32, 33, 34, 35, 36]]
[[7, 8, 9, 4, 5, 6], [1, 2, 3, 10, 11, 12], [13, 14, 15, 16, 17, 18], [19, 20, 21, 22, 23, 24], [25, 26, 27, 28, 29, 30], [31, 32, 33, 34, 35, 36]]
[[7, 8, 3, 4, 5, 6], [1, 2, 9, 10, 11, 12], [13, 14, 15, 16, 17, 18], [19, 20, 21, 22, 23, 24], [25, 26, 27, 28, 29, 30], [31, 32, 33, 34, 35, 36]]
[[7, 2, 3, 4, 5, 6], [1, 8, 9, 10, 11, 12], [13, 14, 15, 16, 17, 18], [19, 20, 21, 22, 23, 24], [25, 26, 27, 28, 29, 30], [31, 32, 33, 34, 35, 36]]
[[1, 2, 3, 4, 5, 6], [7, 8, 9, 10, 11, 12], [13, 14, 15, 16, 17, 18], [19, 20, 21, 22, 23, 24], [25, 26, 27, 28, 29, 30], [31, 32, 33, 34, 35, 36]]
